"GID_1","NL_NAME_1"
"CHN.1_1","安徽"
"CHN.2_1","北京"
"CHN.3_1","重慶"
"CHN.4_1","福建"
"CHN.5_1","甘肅"
"CHN.6_1","广东"
"CHN.7_1","广西"
"CHN.8_1","贵州"
"CHN.9_1","海南"
"CHN.10_1","河北"
"CHN.11_1","黑龙江"
"CHN.12_1","河南"
"CHN.13_1","湖北"
"CHN.14_1","湖南"
"CHN.15_1","江苏"
"CHN.16_1","江西"
"CHN.17_1","吉林"
"CHN.18_1","辽宁"
"CHN.19_1","内蒙古"
"CHN.20_1","宁夏"
"CHN.21_1","青海"
"CHN.22_1","陕西"
"CHN.23_1","山东"
"CHN.24_1","上海"
"CHN.25_1","山西"
"CHN.26_1","四川"
"CHN.27_1","天津"
"CHN.28_1","新疆"
"CHN.29_1","西藏"
"CHN.30_1","云南"
"CHN.31_1","浙江"
